timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2019-12-31T00:00:00.000Z";"2019-12-31T23:59:59.999Z";"2019-12-31T00:59:00.000Z";"2019-12-31T20:58:01.000Z";"2781";0.1945176469;0.194877877;0.1899691086;0.1928939527;1116761074.53;8359619490.72619;"2019-12-31T23:59:59.999Z"
"2019-12-30T00:00:00.000Z";"2019-12-30T23:59:59.999Z";"2019-12-30T07:35:01.000Z";"2019-12-30T21:28:01.000Z";"2781";0.1970631485;0.1987161296;0.1936849383;0.1944741512;1247499610.24;8428101981.85636;"2019-12-30T23:59:59.999Z"
"2019-12-29T00:00:00.000Z";"2019-12-29T23:59:59.999Z";"2019-12-29T23:21:00.000Z";"2019-12-29T01:12:00.000Z";"2781";0.1931157844;0.1989718312;0.1925238957;0.1970507631;1176573822.08;8536136120.34514;"2019-12-29T23:59:59.999Z"
"2019-12-28T00:00:00.000Z";"2019-12-28T23:59:59.999Z";"2019-12-28T17:45:01.000Z";"2019-12-28T00:05:01.000Z";"2781";0.1910628572;0.1952864378;0.1909735852;0.1932221998;1168758139.52;8370284759.30714;"2019-12-28T23:59:59.999Z"
"2019-12-27T00:00:00.000Z";"2019-12-27T23:59:59.999Z";"2019-12-27T18:30:00.000Z";"2019-12-27T12:06:00.000Z";"2781";0.1904031821;0.1927080905;0.1885023664;0.1911021419;1151157498.96;8278444958.22327;"2019-12-27T23:59:59.999Z"
"2019-12-26T00:00:00.000Z";"2019-12-26T23:59:59.999Z";"2019-12-26T19:37:00.000Z";"2019-12-26T13:29:01.000Z";"2781";0.1905553576;0.1925176294;0.1881411959;0.1903941403;1177534638.75;8247774696.76941;"2019-12-26T23:59:59.999Z"
"2019-12-25T00:00:00.000Z";"2019-12-25T23:59:59.999Z";"2019-12-25T09:19:00.000Z";"2019-12-25T15:16:00.000Z";"2781";0.1922876857;0.1926216667;0.1884736826;0.1907189036;1140140918.52;8261843273.22997;"2019-12-25T23:59:59.999Z"
"2019-12-24T00:00:00.000Z";"2019-12-24T23:59:59.999Z";"2019-12-24T15:04:00.000Z";"2019-12-24T00:39:01.000Z";"2781";0.1909916913;0.1968849279;0.1899078764;0.1921982266;1255576963.23;8325926772.46431;"2019-12-24T23:59:59.999Z"
"2019-12-23T00:00:00.000Z";"2019-12-23T23:59:59.999Z";"2019-12-23T00:24:00.000Z";"2019-12-23T23:23:03.000Z";"2781";0.1969581695;0.1981339037;0.1898907811;0.1909426738;1402992086.42;8271536883.00214;"2019-12-23T23:59:59.999Z"
"2019-12-22T00:00:00.000Z";"2019-12-22T23:59:59.999Z";"2019-12-22T20:38:00.000Z";"2019-12-22T06:44:00.000Z";"2781";0.1939994578;0.1973703057;0.192512828;0.1969777342;1261599020.83;8532972545.85338;"2019-12-22T23:59:59.999Z"
"2019-12-21T00:00:00.000Z";"2019-12-21T23:59:59.999Z";"2019-12-21T00:07:01.000Z";"2019-12-21T09:59:00.000Z";"2781";0.1953395838;0.1961730928;0.1906137112;0.1940819077;1208597752.63;8407526855.30861;"2019-12-21T23:59:59.999Z"
"2019-12-20T00:00:00.000Z";"2019-12-20T23:59:59.999Z";"2019-12-20T23:17:00.000Z";"2019-12-20T06:57:01.000Z";"2781";0.1909002514;0.1979669678;0.186776815;0.1953156264;1765470385.04;8460970904.30752;"2019-12-20T23:59:59.999Z"
"2019-12-19T00:00:00.000Z";"2019-12-19T23:59:59.999Z";"2019-12-19T00:27:00.000Z";"2019-12-19T09:35:00.000Z";"2781";0.1962893586;0.1972565699;0.1853215638;0.1908194955;1588179338.1;8264443017.28645;"2019-12-19T23:59:59.999Z"
"2019-12-18T00:00:00.000Z";"2019-12-18T23:59:59.999Z";"2019-12-18T20:39:01.000Z";"2019-12-18T13:26:00.000Z";"2781";0.184613253;0.1975116755;0.1784847878;0.1961763456;2136022807.53;8496449615.14561;"2019-12-18T23:59:59.999Z"
"2019-12-17T00:00:00.000Z";"2019-12-17T23:59:59.999Z";"2019-12-17T00:50:00.000Z";"2019-12-17T20:53:01.000Z";"2781";0.2071885235;0.2076591818;0.1804936571;0.1836992543;2059426122.89;7956063481.23617;"2019-12-17T23:59:59.999Z"
"2019-12-16T00:00:00.000Z";"2019-12-16T23:59:59.999Z";"2019-12-16T00:30:00.000Z";"2019-12-16T21:18:00.000Z";"2781";0.2186473808;0.2189082763;0.2068618373;0.2072251029;1486338424.54;8974974228.85041;"2019-12-16T23:59:59.999Z"
"2019-12-15T00:00:00.000Z";"2019-12-15T23:59:59.999Z";"2019-12-15T10:22:01.000Z";"2019-12-15T15:13:01.000Z";"2781";0.217572851;0.2200743601;0.2113471492;0.2186013015;1171149673.43;9467680409.94928;"2019-12-15T23:59:59.999Z"
"2019-12-14T00:00:00.000Z";"2019-12-14T23:59:59.999Z";"2019-12-14T01:02:01.000Z";"2019-12-14T17:26:00.000Z";"2781";0.2207481468;0.2217418626;0.2167951243;0.2173557948;1078990951.94;9413737187.26656;"2019-12-14T23:59:59.999Z"
"2019-12-13T00:00:00.000Z";"2019-12-13T23:59:59.999Z";"2019-12-13T16:33:00.000Z";"2019-12-13T08:19:01.000Z";"2781";0.2198271106;0.2210074113;0.2169299384;0.2207545276;1252707498.34;9560937204.07133;"2019-12-13T23:59:59.999Z"
"2019-12-12T00:00:00.000Z";"2019-12-12T23:59:59.999Z";"2019-12-12T00:03:01.000Z";"2019-12-12T22:19:02.000Z";"2781";0.2220133;0.2226923703;0.2189632013;0.2198594588;1287697362.42;9522171540.49328;"2019-12-12T23:59:59.999Z"
"2019-12-11T00:00:00.000Z";"2019-12-11T23:59:59.999Z";"2019-12-11T00:34:00.000Z";"2019-12-11T20:49:01.000Z";"2781";0.2242411485;0.2247424213;0.2212903194;0.2220528676;1072062151.52;9611705134.09609;"2019-12-11T23:59:59.999Z"
"2019-12-10T00:00:00.000Z";"2019-12-10T23:59:59.999Z";"2019-12-10T00:58:01.000Z";"2019-12-10T20:27:01.000Z";"2781";0.2254390007;0.2262509828;0.2212759747;0.2243022689;1191690782.29;9709071953.35044;"2019-12-10T23:59:59.999Z"
"2019-12-09T00:00:00.000Z";"2019-12-09T23:59:59.999Z";"2019-12-09T00:39:01.000Z";"2019-12-09T22:40:01.000Z";"2781";0.2304331524;0.2313237839;0.2231829618;0.2254521945;1241659373.42;9758847242.34582;"2019-12-09T23:59:59.999Z"
"2019-12-08T00:00:00.000Z";"2019-12-08T23:59:59.999Z";"2019-12-08T16:02:00.000Z";"2019-12-08T02:32:01.000Z";"2781";0.2284531253;0.233736636;0.2262603313;0.2304349482;1117646357.78;9974529031.25495;"2019-12-08T23:59:59.999Z"
"2019-12-07T00:00:00.000Z";"2019-12-07T23:59:59.999Z";"2019-12-07T23:43:00.000Z";"2019-12-07T00:20:00.000Z";"2781";0.225492489;0.2288913718;0.2253903761;0.2284447484;1073561928.21;9888381918.89692;"2019-12-07T23:59:59.999Z"
"2019-12-06T00:00:00.000Z";"2019-12-06T23:59:59.999Z";"2019-12-06T23:08:00.000Z";"2019-12-06T09:32:01.000Z";"2781";0.2229585342;0.2258584874;0.2207848561;0.2255050046;1253702621.18;9761133164.33198;"2019-12-06T23:59:59.999Z"
"2019-12-05T00:00:00.000Z";"2019-12-05T23:59:59.999Z";"2019-12-05T12:23:00.000Z";"2019-12-05T03:24:02.000Z";"2781";0.2162491754;0.2265750792;0.2139652898;0.222928393;1424294121.42;9649602826.87115;"2019-12-05T23:59:59.999Z"
"2019-12-04T00:00:00.000Z";"2019-12-04T23:59:59.999Z";"2019-12-04T14:04:00.000Z";"2019-12-04T08:23:00.000Z";"2781";0.21982415;0.2217698756;0.2126033512;0.2163475269;1427312576.71;9364745688.36965;"2019-12-04T23:59:59.999Z"
"2019-12-03T00:00:00.000Z";"2019-12-03T23:59:59.999Z";"2019-12-03T17:48:00.000Z";"2019-12-03T10:44:01.000Z";"2781";0.2195161119;0.2231785868;0.2166749253;0.2198696248;1017648494.61;9517202025.51696;"2019-12-03T23:59:59.999Z"
"2019-12-02T00:00:00.000Z";"2019-12-02T23:59:59.999Z";"2019-12-02T02:12:02.000Z";"2019-12-02T09:01:00.000Z";"2781";0.2253855203;0.2272027735;0.2172830283;0.2195806905;1187513776.63;9507818760.23926;"2019-12-02T23:59:59.999Z"
"2019-12-01T00:00:00.000Z";"2019-12-01T23:59:59.999Z";"2019-12-01T00:05:01.000Z";"2019-12-01T08:28:01.000Z";"2781";0.2264661035;0.2265252811;0.2202528935;0.2253327977;1176237060.4;9756884340.96666;"2019-12-01T23:59:59.999Z"
"2019-11-30T00:00:00.000Z";"2019-11-30T23:59:59.999Z";"2019-11-30T01:25:01.000Z";"2019-11-30T19:56:01.000Z";"2781";0.2302318993;0.2336153781;0.2245460215;0.2264743996;1160032623.56;9806315573.44282;"2019-11-30T23:59:59.999Z"
"2019-11-29T00:00:00.000Z";"2019-11-29T23:59:59.999Z";"2019-11-29T20:47:01.000Z";"2019-11-29T00:05:01.000Z";"2781";0.2246234591;0.2316364934;0.22412944;0.2302172994;1325761773.74;9968382707.42357;"2019-11-29T23:59:59.999Z"
"2019-11-28T00:00:00.000Z";"2019-11-28T23:59:59.999Z";"2019-11-28T17:40:00.000Z";"2019-11-28T23:41:00.000Z";"2781";0.2252211374;0.2311314802;0.2241975896;0.2245696211;1244175231.25;9723838882.47281;"2019-11-28T23:59:59.999Z"
"2019-11-27T00:00:00.000Z";"2019-11-27T23:59:59.999Z";"2019-11-27T20:32:00.000Z";"2019-11-27T09:41:00.000Z";"2781";0.2218452171;0.2284980302;0.2161988729;0.2250807547;1608881983.51;9745970910.52131;"2019-11-27T23:59:59.999Z"
"2019-11-26T00:00:00.000Z";"2019-11-26T23:59:59.999Z";"2019-11-26T00:27:01.000Z";"2019-11-26T00:42:01.000Z";"2781";0.2184639586;0.2232115944;0.2149565425;0.2221447831;1322723640.41;9618843673.17944;"2019-11-26T23:59:59.999Z"
"2019-11-25T00:00:00.000Z";"2019-11-25T23:59:59.999Z";"2019-11-25T21:06:01.000Z";"2019-11-25T05:49:00.000Z";"2781";0.2228322025;0.2259234465;0.2070133342;0.218621517;9415068270.51;9466286655.9472;"2019-11-25T23:59:59.999Z"
"2019-11-24T00:00:00.000Z";"2019-11-24T23:59:59.999Z";"2019-11-24T00:06:01.000Z";"2019-11-24T23:59:01.000Z";"2781";0.2362274262;0.2363730417;0.2231843738;0.2231843738;2932397174.29;9663857830.98936;"2019-11-24T23:59:59.999Z"
"2019-11-23T00:00:00.000Z";"2019-11-23T23:59:59.999Z";"2019-11-23T23:59:00.000Z";"2019-11-23T09:39:01.000Z";"2781";0.2315741415;0.2361884556;0.2277066308;0.2361884556;1480512362.86;10226933083.8625;"2019-11-23T23:59:59.999Z"
"2019-11-22T00:00:00.000Z";"2019-11-22T23:59:59.999Z";"2019-11-22T01:23:01.000Z";"2019-11-22T14:19:00.000Z";"2781";0.2437747064;0.2464170153;0.2256869708;0.2315996528;2012230944.62;10028238450.6838;"2019-11-22T23:59:59.999Z"
